title,average Rating,num Votes
Coin Heist,4.8,2558
English Babu Desi Mem,4.8,2227
Fabrizio Copano: Solo pienso en mi,4.8,32
FirstBorn,4.8,1875
Good Game: The Beginning,4.8,1457
Hope Springs Eternal,4.8,498
Lembi 8 Giga,4.8,843
Malibu Rescue: The Next Wave,4.8,700
Manmadhudu 2,4.8,634
Mike Epps: Only One Mike,4.8,268
Misfit 2,4.8,126
Monster Family,4.8,4235
Mrs. Serial Killer,4.8,14875
Nobody Sleeps in the Woods Tonight,4.8,8314
Omar & Salma 2,4.8,716
Rakkhosh,4.8,170
Summer Night,4.8,898
The Little Switzerland,4.8,1150
The Ridiculous 6,4.8,46190
The Rope Curse 2,4.8,274
Trimurti,4.8,2551
Under the Black Moonlight,4.8,46
21 Again,4.9,35
Baadshaho,4.9,4549
Backdraft 2,4.9,1955
Bookmarks,4.9,147
Charlie's Angels: Full Throttle,4.9,124400
Counterfeiting in Suburbia,4.9,328
Earth and Blood,4.9,2323
Follow This,4.9,686
Grand-Daddy Day Care,4.9,774
Hard Tide,4.9,199
Holiday Rush,4.9,2302
Holy Expectations,4.9,22
Hypersomnia,4.9,1247
Katti Batti,4.9,2924
Mercy Black,4.9,3137
Natalia Valdebenito: El especial,4.9,79
Park Na-rae: Glamour Warning,4.9,60
Pooja Kiven Aa,4.9,33
Ragini MMS,4.9,2545
Rise: Ini Kalilah,4.9,34
Road Trip: Beer Pong,4.9,11656
Secreto bien guardado,4.9,163
Spy Kids: Mission Critical,4.9,300
St. Agatha,4.9,5244
Stone Age,4.9,18
The Boss Baby: Get That Baby!,4.9,225
The Flintstones,4.9,78083
The Last Face,4.9,4764
The Mirror Boy,4.9,125
The Silence of the Marsh,4.9,3497
The Twins Effect II,4.9,2495
Tiny Creatures,4.9,1070
What the Jatt!!,4.9,35
Wild Wild West,4.9,155645
A Trip to Jamaica,5,63
Aagey Se Right,5,390
Airplane Mode,5,2312
Alpha and Omega 2: A Howl-iday Adventure,5,940
American Heist,5,16650
Bokeh,5,7279
Chernobyl Diaries,5,64936
Chief Daddy,5,221
Darra,5,35
